article_author,article_title,index_link,article_dt,article_text,article_IP,article_ncomments
lavarslaker (球爸),[討論] 搶麥還蠻可怕的吧…,https://www.ptt.cc/bbs/HatePolitics/M.1689564201.A.93D.html,Mon Jul 17 11:23:19 2023,記得當初大家討厭中天時，中天在遊行現場連線，遊行群眾很討厭但也沒有動手騷擾記得就一堆人寫了便利貼，貼在中天的SNG車上，幽默的表達不滿柯粉討厭三立沒問題啦但是動手搶麥會不會太誇張了很恐怖欸…..怎麼現代柯粉都沒有之前反中天那些群眾的幽默感啊？貼便利貼在SNG車，沒有攻擊到誰，又能幽默表達訴求也能拍成照片，形成一個有趣的傳播主題不是很好嗎？去搶記者麥，很恐怖欸難怪____都不敢去….--,45.144.227.59 (臺灣),53
todao (心裡有數),[討論] 還怪到女生不在乎居住正義 XD,https://www.ptt.cc/bbs/HatePolitics/M.1689564215.A.CE4.html,Mon Jul 17 11:23:33 2023,真的被某些人打敗在fb看到有人說昨天女生比較少是因為女生不在乎居住正義笑死我男的我超在乎居住正義但我也不想參加昨天活動啊 XD為什麼要參加昨天活動才表示我在乎居住正義？莫名其妙 XD--,180.217.249.79 (臺灣),196
m82 (辱華被祖光宗耀祖),Re: [新聞] 716凱道活動男女比懸殊？賴香伶：也許很,https://www.ptt.cc/bbs/HatePolitics/M.1689564349.A.CE3.html,Mon Jul 17 11:25:46 2023,據說阿北的支持度越年輕越高，20-29歲這個年齡段更超過六成根據內政部統計，台灣20-29歲女性至2022年底共1411855人，其中已婚者共164779人，占同年齡女性總人口11.67%，我就問，一個籌備長達半年的活動，從未婚的1247076人中，動員出1%，12471人有這麼難嗎?就算有四成的人不支持阿北，那動員出7482人，畫面也不會這麼難看阿話說十年前的7月20日，國防部前面也有一場聲援洪仲丘的抗議，召集人是當時還沒因性平案入獄，但知名度也遠低於現在的阿館跟國昌的柳林瑋，從他在批踢踢軍旅版的一篇爆文開始，一週就鍵盤號召了三萬人參加同樣是七月酷暑，理應是不願役男性才會有共鳴的當兵人權議題，新聞照片中還是可以看到不少女性參與者的身影，沒有躲在樹下就承認主辦人不受女性歡迎，有很難嗎? 可以推給阿館國昌阿，又不是阿北不受女生歡迎你看影片中的女學生笑的多燦爛~--疼惜開膛手 票投柯文哲土地的主人 民眾的導師--爬山、自由潛水、衝浪、龜山島牛奶海那麼多妹子是阿飄嗎?,122.116.144.48 (臺灣),10
Supasizeit (更大更快更有力),[黑特] 應該沒有賭爛票了,https://www.ptt.cc/bbs/HatePolitics/M.1689564447.A.A45.html,Mon Jul 17 11:27:25 2023,民調說過半要政黨輪替結果證明都是空氣票動員起來只剩下魯蛇宅男笨笨的去給民進黨提款現在只要非民進黨的人講到司法正義跟居住正義 聽到的人感覺就是臭 就是魯 就是廢 就是死尼特昨天遊行沒半個網紅 沒半個藝人參加代表跟潮一點關係都沒有反觀民進黨大熱天穿棒球外套舞台金光閃閃音樂激動人心潮到出水潮到我都想辦黨證去參加了--,203.204.194.135 (臺灣),8
a10141013 (FlyBall),[討論] 遊行活動中在樹蔭底下的人數如何計算?,https://www.ptt.cc/bbs/HatePolitics/M.1689564473.A.B67.html,Mon Jul 17 11:27:51 2023,現在柯粉論點有二一是大批群眾在樹下乘涼二是女生怕曬而躲在樹下想想確實有道理以前遊行的時候都會直接忽略在樹下的人數這次才發現以前都沒算到所以要如何計算在樹下的人數--,1.171.8.106 (臺灣),43
hurtmind (智障!),Re: [新聞] 蔡英文稱「冷氣不錯」對比凱道熱汗  侯,https://www.ptt.cc/bbs/HatePolitics/M.1689564502.A.E74.html,Mon Jul 17 11:28:20 2023,拿戶外曬太陽對比沒什麼意思重點在經濟部能源局對室內冷氣的限溫政策公家機關交通運輸甚至百貨商場都被要求溫度不能低於25度要控制在26-28度民進黨身為執政黨不用以身做責嗎我在高雄逛百貨公司逛到流汗如果冷氣設定在26-28度不會熱死但是絕對不可能穿外套機場裡面流汗百貨裡面流汗就是簡單的心情不爽民進黨是制定政策的人自己做不到被幹只是剛好而已--,223.137.248.185 (臺灣),4
andrewkuo (),[新聞] 專訪系列三》我被質詢時他在偷笑 吳音寧,https://www.ptt.cc/bbs/HatePolitics/M.1689564528.A.BD9.html,Mon Jul 17 11:28:46 2023,"NewTalk專訪系列三》我被質詢時他在偷笑 吳音寧：柯文哲是沒肩膀的人台灣民眾黨總統參選人柯文哲的支持度穩居第二，尤其在中部地區的聲勢愈來愈好，民進黨徵召的彰化縣立委第三選區參選人吳音寧，曾在柯文哲台北市長任內擔任台北農產運銷公司總經理。吳音寧接受《新頭殼》專訪時直言，以她與柯文哲共事兩年多的經驗談，她必須告訴彰化鄉親，「柯文哲是個沒有肩膀的人，更不適合擔任國家領導人。」吳音寧認為，賴清德認同台灣這塊土地、重視民主價值的賴清德，能穩健帶領台灣前進，才是國家適合的領導人。吳音寧說，她投入立委選舉不久後，在柯文哲民調超過侯友宜、穩居第二之前，就發現柯文哲在彰化的聲勢不斷上升，「我覺得大家可能是對於非典型的候選人，比較有好感，可以明顯的感受到柯文哲在彰化的聲勢有在上升，有可能是年輕選民覺得反正國民黨就已經是那個樣子了，而賴清德主席的形象就是比較正經，在這種情況下之，一個非典型的候選人，可能就比較容易被接受。」但認同台灣這塊土地、重視民主價值的賴清德，能穩健帶領台灣前進，才是國家適合的領導人。柯文哲沒有核心價值吳音寧話鋒一轉，直批柯文哲「沒有核心價值」，她說：「大家覺得柯文哲好像不錯，可能因為對柯文哲不夠瞭解，從柯文哲過去的言行，在台北市政府裡頭做的這些事情，還有他怎麼對待他自己台北市政府的員工，幹部走了那麼多人，可以證明柯文哲是一個沒有核心價值的人！他就是講話就是看風向，參考民調去講話！」《新頭殼》記者問：「你會怎麼告訴別人，根據你們過去共事的經驗，你所認識的柯文哲是個怎麼樣的人？」吳音寧舉了實際的例子，「在工作群組裡面如果有人吵架，兩個員工有不同的意見，這個老闆（柯文哲）沒有要做決定的喔！這個老闆就是看誰吵贏，他的意思是，『你們自己去解決』。」同仁有矛盾 柯說會說：把對方弄掉你就贏了吳音寧再舉發生在自己身上實際的例子，「像我的事情，他就會說，XX要害你，我也知道，但是你自己要注意，如果你被害死，也是你自己的問題，你如果沒有被害死，你就把XX弄掉，這樣你就贏了。」「我實話實說，在他（柯文哲）底下工作的人走了多少？包括為了巨蛋離開的林洲民也是啊，他是一個很優秀的建築師，從北市府離開的人才真的難以計算了，都是導源於柯文哲不是一個好的領導者。」我被質詢 他在一旁偷笑吳音寧認為，一個有理念的領導者，應該要支持自己團隊裡的員工，協助員工去面對問題，「但柯文哲不是，出了問題，你們自己去面對，他看我被質詢，卻在一旁偷笑，那個畫面，對，就是那種感覺啊！」「身為一個領導者，要做什麼？一個領導者不是這樣子的，尤其一個國家的領導者，就是要把國家的責任要扛在肩膀上，所以柯文哲真的非常不適任當總統！」吳音寧當年是接受農委會邀請，接任韓國瑜出任北農總經理，但後來是農委會提案要她辭掉。她表示，當時農委會有政治上的考量，「他們覺得說，我如果繼續當總經理，在那裡一直讓柯文哲發揮，所以就是有他們的考量，但是這些事情其實都過去了，我卸任也從未再與柯文哲有連絡，即使現在兩人都要選舉，也都沒碰過面，重提此事真的只想表達，柯文哲不適合當總統，這是非常明確的！」結果呢?自己被質詢那個啥爛回答,還在怪別人,到後來躲起來不敢去議會質詢,董事長陳景峻被議會叮得滿頭包,自己為啥不想想呢?--",175.183.33.46 (臺灣),18
Friend5566 (朋友56),[討論] 女性不去挺柯遊行還要被柯粉羞辱,https://www.ptt.cc/bbs/HatePolitics/M.1689564533.A.546.html,Mon Jul 17 11:28:51 2023,昨天716大遊行全場都男的 女性根本看不到想也知道女性不想來挺歧視女性的政治人物結果柯粉還在網路上羞辱女性「低學歷女性大多挺民進黨 高學歷男性挺民眾黨」「台女不懂理性思考 沒辦法挺理性務實的阿北」「女性沒買房壓力 給人抽插就有房子了幹嘛來」柯粉不覺得有點超過嗎--,1.200.168.155 (臺灣),15
chengcti (版主請投我一票!),Re: [新聞] 黃國昌716遊行喊「綠媒該被唾棄」　美女,https://www.ptt.cc/bbs/HatePolitics/M.1689564565.A.F04.html,Mon Jul 17 11:29:23 2023,他是還好有攝影記者在旁邊如果烙單一個小女生 在白粉這些肥宅前面每個都喊綠媒讓他死 阿北當總統不禁想到電玩展一堆肥宅喜歡拍SG 裙底還喜歡吃SG 豆腐想到印度我看這群肥宅假裝斥責綠媒事實上是大吃豆腐吧平安脫身 阿彌陀佛難怪現場沒正妹參加 肥宅看到正妹就好像癡漢在電車上哪個敢去被鬼附身氣上--,37.19.205.185 (日本),13
yabition0411 (最初的夢想),[討論] 昨天有吹冷氣的是不是對不起館長?,https://www.ptt.cc/bbs/HatePolitics/M.1689564632.A.B10.html,Mon Jul 17 11:30:29 2023,民進黨5月就決定開全代會然後館長跟顆粉在那邊靠北靠母蔡英文吹冷氣笑死沒人叫你們這群大熱天上街頭好嗎情緒勒索個屁平時酸沒電開冷氣16度酸政府很爽你他媽一群巨嬰--,59.120.116.22 (臺灣),40
