index_author,index_title,index_link
lavarslaker,[討論] 搶麥還蠻可怕的吧…,/bbs/HatePolitics/M.1689564201.A.93D.html
todao,[討論] 還怪到女生不在乎居住正義 XD,/bbs/HatePolitics/M.1689564215.A.CE4.html
m82,Re: [新聞] 716凱道活動男女比懸殊？賴香伶：也許很,/bbs/HatePolitics/M.1689564349.A.CE3.html
Supasizeit,[黑特] 應該沒有賭爛票了,/bbs/HatePolitics/M.1689564447.A.A45.html
a10141013,[討論] 遊行活動中在樹蔭底下的人數如何計算?,/bbs/HatePolitics/M.1689564473.A.B67.html
hurtmind,Re: [新聞] 蔡英文稱「冷氣不錯」對比凱道熱汗  侯,/bbs/HatePolitics/M.1689564502.A.E74.html
andrewkuo,[新聞] 專訪系列三》我被質詢時他在偷笑 吳音寧,/bbs/HatePolitics/M.1689564528.A.BD9.html
Friend5566,[討論] 女性不去挺柯遊行還要被柯粉羞辱,/bbs/HatePolitics/M.1689564533.A.546.html
chengcti,Re: [新聞] 黃國昌716遊行喊「綠媒該被唾棄」　美女,/bbs/HatePolitics/M.1689564565.A.F04.html
yabition0411,[討論] 昨天有吹冷氣的是不是對不起館長?,/bbs/HatePolitics/M.1689564632.A.B10.html
windcanblow,Re: [討論] 716人數=人民的怒氣,/bbs/HatePolitics/M.1689564732.A.133.html
a5687920,[新聞] 「王小姐也去參加716遊行」！　曬V領背,/bbs/HatePolitics/M.1689564774.A.FB4.html
loser1,Re: [新聞] 蔡英文稱「冷氣不錯」對比凱道熱汗  侯,/bbs/HatePolitics/M.1689564807.A.9BB.html
a19870704,[黑特] 熱到翻了怎麼還沒大規模停電,/bbs/HatePolitics/M.1689564871.A.E97.html
TheoEpstein,[討論] 王婉瑜昨天MVP表現的證據,/bbs/HatePolitics/M.1689564935.A.2A0.html
hamsters56,[新聞] 凱道集會遭噓 侯友宜：民主就是傾聽不同,/bbs/HatePolitics/M.1689564938.A.94B.html
blargelp,[討論] 昌粉沒出來,/bbs/HatePolitics/M.1689564955.A.8DB.html
ntlutw,[黑特] 綠憤說沒雙主菜便當絕不參加,/bbs/HatePolitics/M.1689564991.A.8A0.html
lavarslaker,[討論] 健身房應該關閉冷氣了吧？,/bbs/HatePolitics/M.1689565183.A.B80.html
devidevi,[討論] 前柯粉或我不是柯粉，是不是很榮耀??,/bbs/HatePolitics/M.1689563411.A.9A4.html
meredith001,[討論] 柯粉同事：哪個白癡遊行辦下午兩點,/bbs/HatePolitics/M.1689563445.A.7B2.html
CCRun,[黑特] 柯粉都在怪館長？,/bbs/HatePolitics/M.1689563543.A.56D.html
gerund,[討論] 各大群組現在很好釣柯粉,/bbs/HatePolitics/M.1689563624.A.96B.html
s7503228,[新聞] 黃國昌716遊行喊「綠媒該被唾棄」　美女,/bbs/HatePolitics/M.1689563675.A.38F.html
markban,[討論] 716遊行的主題是包牌嗎？,/bbs/HatePolitics/M.1689563680.A.7E8.html
joe6304105,[討論] 其實昨天遊行的很多女孩紙吧,/bbs/HatePolitics/M.1689563717.A.152.html
Mazda6680,[討論] 猴子爬到樹上大家才知道他屁股紅,/bbs/HatePolitics/M.1689563739.A.066.html
nidhogg,Re: [討論] 館長警告民進黨：天氣不是永遠這麼熱,/bbs/HatePolitics/M.1689563753.A.4F6.html
a10141013,[討論] 館長:不理民進黨 民進黨沒資格說話,/bbs/HatePolitics/M.1689563788.A.159.html
newsyho,[黑特] Lie導連議會都不進去的說要扛責任,/bbs/HatePolitics/M.1689563903.A.B65.html
purplvampire,Re: [討論] 前柯粉或我不是柯粉，是不是很榮耀?,/bbs/HatePolitics/M.1689563915.A.F55.html
andrewkuo,[新聞] 專訪系列二》謝衣鳳只是公主？吳音寧：,/bbs/HatePolitics/M.1689564024.A.4E4.html
loser1,Re: [討論] 柯文哲實在愧對他的30%支持度,/bbs/HatePolitics/M.1689564024.A.082.html
zeroinfany,[討論] 多點寬容,/bbs/HatePolitics/M.1689564048.A.F15.html
takuminauki,Re: [討論] 馬英九15年怎麼沒灑幣？,/bbs/HatePolitics/M.1689564048.A.DD7.html
coeXist,[討論] 政黑綠粉這次政黨票願意改投時力嗎?,/bbs/HatePolitics/M.1689564118.A.B5C.html
oppo5566,[討論] 一場遊行徹底打垮柯文哲的總統夢,/bbs/HatePolitics/M.1689564173.A.FE0.html
Zphoenix,[討論] 柯粉該向藍粉說服716沒失敗 而非綠粉,/bbs/HatePolitics/M.1689564187.A.33D.html
hamsters56,[新聞] 蔡英文稱「冷氣不錯」對比凱道熱汗  侯,/bbs/HatePolitics/M.1689562453.A.773.html
ntlutw,[黑特] 母豬就是賤，吹冷氣穿外套,/bbs/HatePolitics/M.1689562514.A.FB1.html
ccl007,[討論]820還有還路於民大遊行,/bbs/HatePolitics/M.1689562532.A.9F6.html
